name,precision,recall,fscore,woba
 Corey Seager,0.7441285537700866,0.8326417704011065,0.7859007832898172,0.432
 Randy Arozarena,0.655241935483871,0.6052141527001862,0.6292352371732817,0.353
 Alec Bohm,0.7020810514786419,0.679745493107105,0.6907327586206896,0.334
 Seiya Suzuki,0.7611580217129071,0.6026743075453678,0.6727078891257997,0.335
 Ryan McMahon,0.7531194295900179,0.6701030927835051,0.7091900965169954,0.339
 Paul Goldschmidt,0.6997193638914874,0.6111111111111112,0.6524204099433057,0.352
 Isaac Paredes,0.6730123180291153,0.6640883977900552,0.6685205784204671,0.362
 Teoscar Hernandez,0.6587561374795418,0.7285067873303167,0.6918779544477869,0.327
 Zach McKinstry,0.7057444314185228,0.6794582392776524,0.6923519263944796,0.294
 Dominic Smith,0.6824395373291272,0.691160809371672,0.6867724867724867,0.303
 Nathaniel Lowe,0.7531305903398927,0.677938808373591,0.7135593220338984,0.356
 Steven Kwan,0.7532729103726082,0.5899053627760252,0.6616541353383458,0.313
 TJ Friedl Jr.,0.7121019108280254,0.5865687303252886,0.6432681242807825,0.329
 Joey Meneses,0.6539589442815249,0.6401913875598086,0.6470019342359767,0.32
 Vladimir Guerrero Jr.,0.7,0.7460159362549801,0.7222757955641274,0.337
 Adley Rutschman,0.7059980334316618,0.6126279863481229,0.656007309273641,0.344
 Juan Soto,0.7542468856172141,0.5716738197424893,0.650390625,0.382
 Nick Castellanos,0.6017021276595744,0.7505307855626328,0.6679263108171942,0.328
 Michael Conforto,0.7170294494238156,0.6862745098039216,0.7013149655604258,0.326
 Will Smith,0.7167832167832168,0.6692056583242655,0.6921778277996624,0.355
 Orlando Arcia,0.7202970297029703,0.6546681664791901,0.685916322922805,0.339
 Brandon Nimmo,0.7796116504854369,0.6229635376260667,0.692539887882708,0.348
 Daulton Varsho,0.7305034550839091,0.7135969141755063,0.7219512195121951,0.29
 Nico Hoerner,0.6713709677419355,0.6005410279531109,0.6339838172298905,0.323
 Bobby Witt Jr.,0.6930946291560103,0.7125328659070991,0.7026793431287813,0.344
 Mauricio Dubon,0.6670588235294118,0.7590361445783133,0.710081402629931,0.299
 Bryson Stott,0.6885406464250735,0.5942519019442096,0.6379310344827587,0.33
 J.P. Crawford,0.7603406326034063,0.5808550185873605,0.6585879873551105,0.362
 Tim Anderson,0.6659012629161883,0.7090464547677262,0.6867969212551807,0.26
 MJ Melendez Jr.,0.7154072620215898,0.6989453499520614,0.7070805043646945,0.304
 Salvador Perez,0.5629017447199265,0.7858974358974359,0.6559657570893526,0.302
 Ke'Bryan Hayes,0.6572237960339944,0.5987096774193549,0.6266036461850102,0.317
 Matt Vierling,0.6872536136662286,0.5970319634703196,0.6389737324373854,0.302
 Gunnar Henderson,0.7238307349665924,0.6526104417670683,0.6863780359028511,0.343
 Andrew Vaughn,0.6514476614699332,0.639344262295082,0.6453392167677883,0.318
 Josh Bell,0.6816326530612244,0.7159699892818864,0.698379508625196,0.321
 CJ Abrams,0.6640079760717846,0.7223427331887202,0.6919480519480521,0.302
 Fernando Tatis Jr.,0.6842105263157895,0.7913043478260869,0.7338709677419355,0.337
 Matt Olson,0.6920583468395461,0.7122602168473728,0.7020139745170572,0.396
 Jake Burger,0.6388583973655324,0.697841726618705,0.6670487106017192,0.347
 Jack Suwinski,0.7548476454293629,0.593681917211329,0.6646341463414634,0.333
 Alex Verdugo,0.7393867924528302,0.5623318385650224,0.6388181355068772,0.34
 Keibert Ruiz,0.6528301886792452,0.6688144329896907,0.6607256524506684,0.312
 J.D. Davis,0.7520491803278688,0.7850267379679144,0.7681841967556254,0.315
 Austin Hays,0.6498771498771498,0.6305125148986889,0.6400483968542044,0.335
 Anthony Santander,0.6133928571428572,0.6722113502935421,0.6414565826330532,0.348
 Ozzie Albies,0.6570428696412949,0.7758264462809917,0.7115111321648507,0.35
 Lourdes Gurriel Jr.,0.7021276595744681,0.662090813093981,0.6815217391304349,0.328
 Andres Gimenez,0.608534322820037,0.703862660944206,0.6527363184079602,0.296
 Max Muncy,0.6785260482846251,0.553941908713693,0.6099371787549972,0.346
 Ty France,0.6765523632993512,0.7426246185147508,0.7080504364694471,0.32
 Marcus Semien,0.7765765765765765,0.7298899237933955,0.7525098210388477,0.343
 James Outman,0.7124856815578465,0.676822633297062,0.6941964285714286,0.347
 Enrique Hernandez,0.7008985879332478,0.65,0.6744904261890056,0.275
 Mookie Betts,0.7843575418994413,0.6163301141352063,0.6902654867256638,0.428
 Spencer Torkelson,0.7617728531855956,0.6729200652528549,0.714595062797748,0.326
 Bryan De La Cruz,0.6325187969924813,0.6757028112449799,0.6533980582524272,0.316
 Andrew McCutchen,0.7766990291262136,0.641925777331996,0.7029104887424492,0.342
 Ronald Acuna Jr.,0.7554744525547445,0.7011007620660458,0.7272727272727272,0.421
 Tyler Stephenson,0.6989389920424404,0.6009122006841505,0.6462293071735131,0.314
 Manny Machado,0.7004089979550102,0.6870611835506519,0.6936708860759494,0.328
 Jeimer Candelario,0.6912751677852349,0.6847103513770181,0.6879770992366413,0.353
 Luis Rengifo,0.6962962962962963,0.746031746031746,0.7203065134099617,0.335
 Jurickson Profar,0.736784140969163,0.6875642343268242,0.7113237639553428,0.3
 Corbin Carroll,0.6838156484458735,0.6496945010183299,0.6663185378590079,0.376
 Austin Riley,0.7100949094046591,0.6974576271186441,0.7037195382642155,0.352
 Jake Cronenworth,0.7339449541284404,0.6710158434296365,0.7010710808179162,0.301
 Javier Baez,0.54419595314164,0.6804260985352862,0.6047337278106508,0.254
 Myles Straw,0.7474489795918368,0.5991820040899796,0.6651532349602725,0.269
 Whit Merrifield,0.6870681145113524,0.7023208879919274,0.6946107784431138,0.322
 Esteury Ruiz,0.6679012345679012,0.7099737532808399,0.688295165394402,0.283
 Eddie Rosario,0.5997807017543859,0.7312834224598931,0.6590361445783133,0.333
 Xander Bogaerts,0.7098121085594989,0.5938864628820961,0.6466951973371374,0.325
 Matt Chapman,0.782010582010582,0.6639712488769093,0.7181729834791059,0.334
 Masataka Yoshida,0.6982758620689655,0.5827338129496403,0.6352941176470588,0.351
 Bryan Reynolds,0.7082917082917083,0.7377731529656608,0.7227319062181446,0.335
 Wander Franco,0.7159487776484285,0.6333676622039135,0.6721311475409836,0.349
 Tommy Edman,0.696969696969697,0.6233062330623306,0.6580829756795422,0.313
 Carlos Correa,0.673289183222958,0.6174089068825911,0.6441393875395988,0.304
 Eugenio Suarez,0.7304900181488203,0.6614626129827444,0.6942647692971109,0.314
 George Springer III,0.775811209439528,0.7258509659613616,0.7500000000000001,0.322
 Luis Robert Jr.,0.6299911268855368,0.7759562841530054,0.6953966699314398,0.368
 Nolan Gorman,0.7022016222479722,0.7318840579710145,0.716735659373152,0.335
 Lane Thomas,0.6812182741116751,0.6077898550724637,0.6424126376256581,0.349
 Carlos Santana,0.7229299363057324,0.6892712550607287,0.705699481865285,0.319
 Leody Taveras,0.7099322799097065,0.7196796338672768,0.7147727272727273,0.311
 Kyle Tucker,0.775691699604743,0.7168949771689498,0.7451352634076887,0.372
 Freddie Freeman,0.732824427480916,0.7572304995617879,0.7448275862068966,0.414
 Alex Bregman,0.7454153182308522,0.6131322094055013,0.6728334956183057,0.353
 Nolan Arenado,0.6241206030150753,0.6557550158394931,0.6395468589083418,0.336
 J.T. Realmuto,0.6842105263157895,0.7006880733944955,0.6923512747875354,0.333
 Hunter Renfroe,0.6529588766298897,0.7053087757313109,0.678125,0.311
 Michael Harris II,0.6405307599517491,0.6738578680203046,0.6567717996289426,0.34
 Anthony Volpe,0.7029914529914529,0.6707441386340469,0.6864893062076161,0.305
 Ha-Seong Kim,0.7580275229357798,0.5387123064384678,0.6298237255836112,0.348
 Ryan Mountcastle,0.6131221719457014,0.7404371584699454,0.6707920792079208,0.337
 Trea Turner,0.6427392739273927,0.7342130065975495,0.6854377474703036,0.324
 Francisco Lindor,0.7106460418562329,0.6973214285714285,0.7039206849932402,0.34
 Willy Adames,0.6525270758122743,0.7165510406342914,0.6830420406235238,0.301
 Kyle Schwarber,0.6848049281314168,0.5647756138865369,0.6190255220417634,0.343
 Dansby Swanson,0.7453109575518263,0.705607476635514,0.7249159865578492,0.325
 Elias Diaz,0.6523143164693218,0.7632241813602015,0.7034242600116077,0.314
 Jorge Soler,0.6783068783068783,0.6740273396424816,0.6761603375527426,0.356
 Christian Yelich,0.7134670487106017,0.6790909090909091,0.695854680950163,0.348
 Spencer Steer,0.7275419545903258,0.6299145299145299,0.6752175904718277,0.352
 Josh Jung,0.668824163969795,0.7337278106508875,0.6997742663656884,0.346
 Rafael Devers,0.6511226252158895,0.7678207739307535,0.7046728971962617,0.359
 Ketel Marte,0.737384140061792,0.6697848456501403,0.7019607843137255,0.355
 Jeff McNeil,0.7211822660098522,0.7569803516028956,0.7386478304742685,0.311
 Shohei Ohtani,0.663963963963964,0.7045889101338432,0.683673469387755,0.433
 Justin Turner,0.7322134387351779,0.6415584415584416,0.683894785417628,0.359
 Ian Happ,0.7395264116575592,0.6738589211618258,0.7051671732522796,0.347
 Pete Alonso,0.6736263736263737,0.6105577689243028,0.6405433646812958,0.359
 Andrew Benintendi,0.729103726082578,0.6961538461538461,0.7122479094933595,0.309
 Brent Rooker Jr.,0.7029940119760479,0.6647791619479049,0.6833527357392317,0.34
 Jose Abreu,0.6261306532663317,0.6476091476091476,0.6366888094021461,0.282
 Adolis Garcia,0.6784101174345076,0.7084905660377359,0.6931241347485002,0.35
 Gleyber Torres,0.7097378277153558,0.6960514233241506,0.7028280018544274,0.346
 Amed Rosario,0.6080661840744571,0.691764705882353,0.6472206934507431,0.297
 Bo Bichette,0.6781395348837209,0.7738853503184714,0.7228557263262272,0.357
 Ezequiel Tovar,0.6342957130358705,0.7949561403508771,0.7055961070559609,0.308
 Luis Arraez,0.7049847405900305,0.6875,0.6961325966850829,0.367
 LaMonte Wade Jr.,0.7628294036061026,0.6207674943566591,0.6845052893590541,0.34
 Yandy Diaz,0.7687861271676301,0.6616915422885572,0.7112299465240642,0.389
 Marcell Ozuna,0.6782334384858044,0.698051948051948,0.688,0.374
 DJ LeMahieu,0.715076071922545,0.5436382754994742,0.6176821983273596,0.313
 Triston Casas,0.7365196078431373,0.6655592469545958,0.6992437463641653,0.369
 Bryce Harper,0.6057803468208093,0.7867867867867868,0.6845199216198563,0.375
 Willson Contreras,0.6486175115207373,0.6899509803921569,0.668646080760095,0.344
 Cal Raleigh,0.675954592363261,0.7213656387665198,0.6979222163026106,0.33
 Trent Grisham,0.7407407407407407,0.6072106261859582,0.6673618352450469,0.298
 William Contreras,0.7048984468339307,0.6316916488222698,0.6662902315076228,0.355
 Cody Bellinger,0.6971428571428572,0.6747787610619469,0.685778527262507,0.383
 Jonathan India,0.7520325203252033,0.5799373040752351,0.6548672566371682,0.326
