name,swing precision,swing recall,swing fscore,woba
 Adrian Beltre,0.6709006928406467,0.6227224008574491,0.6459143968871596,0.327
 Ichiro Suzuki,0.7631578947368421,0.6304347826086957,0.6904761904761905,0.212
 Victor Martinez,0.6567164179104478,0.6844444444444444,0.6702937976060935,0.281
 Chase Utley,0.7797202797202797,0.5703324808184144,0.6587887740029542,0.272
 Albert Pujols,0.6453089244851259,0.6619718309859155,0.6535341830822712,0.299
 Matt Holliday,0.6744186046511628,0.6904761904761905,0.6823529411764705,0.377
 Joe Mauer,0.7393548387096774,0.4973958333333333,0.594706798131811,0.319
 Miguel Cabrera,0.7352941176470589,0.6896551724137931,0.7117437722419928,0.36
 Adrian Gonzalez,0.6059782608695652,0.7508417508417509,0.6706766917293233,0.288
 Brandon Phillips,0.711864406779661,0.75,0.7304347826086958,0.243
 Jose Reyes,0.7036199095022625,0.6746203904555315,0.6888150609080841,0.255
 Jeff Mathis,0.7422680412371134,0.6620689655172414,0.6998784933171325,0.243
 Shin-Soo Choo,0.7221238938053097,0.6098654708520179,0.6612641815235009,0.355
 Rene Rivera,0.654639175257732,0.7215909090909091,0.6864864864864865,0.298
 Zack Greinke,0.6885245901639344,0.6268656716417911,0.6562500000000001,0.25
 Yadier Molina,0.6608863198458574,0.7057613168724279,0.6825870646766169,0.323
 Robinson Cano,0.6633165829145728,0.6804123711340206,0.6717557251908397,0.364
 Edwin Encarnacion,0.7087087087087087,0.6629213483146067,0.6850507982583454,0.346
 Jose Bautista,0.7172619047619048,0.6300653594771242,0.6708420320111343,0.324
 Cole Hamels,0.6326530612244898,0.6078431372549019,0.62,0.172
 Adam Jones,0.6151260504201681,0.7290836653386454,0.6672743846855059,0.315
 Russell Martin,0.8534653465346534,0.5762032085561497,0.6879489225857941,0.305
 Curtis Granderson,0.7084548104956269,0.5898058252427184,0.6437086092715232,0.341
 Rajai Davis,0.6755447941888619,0.7400530503978779,0.7063291139240506,0.251
 Hanley Ramirez,0.7176781002638523,0.768361581920904,0.742155525238745,0.308
 Anibal Sanchez,0.6172839506172839,0.5434782608695652,0.5780346820809249,0.037
 Kendrys Morales,0.6253012048192771,0.6352509179926561,0.6302367941712204,0.329
 Howie Kendrick III,0.695364238410596,0.7094594594594594,0.7023411371237458,0.342
 Bobby Wilson,0.6589403973509934,0.6567656765676567,0.6578512396694215,0.232
 Ian Kinsler,0.733615221987315,0.6628462273161414,0.6964375313597592,0.298
 Brandon McCarthy,0.8292682926829268,0.4473684210526316,0.5811965811965812,0.116
