name,precision,recall,fscore,woba
 Corey Seager,0.8210059171597633,0.7283464566929134,0.7719054242002782,0.432
 Randy Arozarena,0.6795162509448224,0.7244157937147462,0.7012480499219967,0.353
 Alec Bohm,0.6860706860706861,0.7081545064377682,0.6969376979936642,0.334
 Seiya Suzuki,0.6498316498316499,0.7958762886597938,0.7154772937905467,0.335
 Ryan McMahon,0.675,0.7572304995617879,0.7137546468401487,0.339
 Paul Goldschmidt,0.6533139111434815,0.7364532019704434,0.692396758008491,0.352
 Isaac Paredes,0.7145539906103286,0.7226970560303894,0.7186024551463646,0.362
 Teoscar Hernandez,0.7142857142857143,0.6426735218508998,0.6765899864682002,0.327
 Zach McKinstry,0.70042194092827,0.7256830601092896,0.7128287707997852,0.294
 Dominic Smith,0.7004132231404959,0.6918367346938775,0.6960985626283367,0.303
 Nathaniel Lowe,0.7185080928923293,0.787201233616037,0.7512877115526122,0.356
 Steven Kwan,0.6237337192474675,0.7786811201445348,0.6926476496584973,0.313
 TJ Friedl Jr.,0.6283018867924528,0.7466367713004485,0.6823770491803278,0.329
 Joey Meneses,0.670464504820333,0.6836461126005362,0.6769911504424778,0.32
 Vladimir Guerrero Jr.,0.7457627118644068,0.6997193638914874,0.7220077220077219,0.337
 Adley Rutschman,0.68646408839779,0.768754833720031,0.7252827435242613,0.344
 Juan Soto,0.6879299562226392,0.8352315869400152,0.7544581618655692,0.382
 Nick Castellanos,0.7391786903440621,0.5873015873015873,0.6545454545454545,0.328
 Michael Conforto,0.7273695420660277,0.7555309734513275,0.7411828540423223,0.326
 Will Smith,0.7150890346766635,0.7584493041749503,0.7361312108055956,0.355
 Orlando Arcia,0.6775210084033614,0.7405281285878301,0.7076247942951179,0.339
 Brandon Nimmo,0.6582278481012658,0.8048151332760103,0.7241779497098646,0.348
 Daulton Varsho,0.7038883349950149,0.7211440245148111,0.7124117053481333,0.29
 Nico Hoerner,0.6283557046979866,0.6967441860465117,0.6607851786501985,0.323
 Bobby Witt Jr.,0.7066189624329159,0.6869565217391305,0.6966490299823633,0.344
 Mauricio Dubon,0.7049180327868853,0.603085553997195,0.6500377928949358,0.299
 Bryson Stott,0.6141479099678456,0.7060998151571165,0.6569217540842649,0.33
 J.P. Crawford,0.6629297458893871,0.8182656826568265,0.7324525185796862,0.362
 Tim Anderson,0.6925064599483204,0.6481257557436517,0.6695815115552779,0.26
 MJ Melendez Jr.,0.704331450094162,0.720616570327553,0.7123809523809523,0.304
 Salvador Perez,0.7674094707520891,0.5365141187925998,0.6315186246418338,0.302
 Ke'Bryan Hayes,0.6473922902494331,0.7023370233702337,0.6737463126843658,0.317
 Matt Vierling,0.6183783783783784,0.7061728395061728,0.6593659942363111,0.302
 Gunnar Henderson,0.6778398510242085,0.7459016393442623,0.7102439024390245,0.343
 Andrew Vaughn,0.6780487804878049,0.689484126984127,0.6837186424003935,0.318
 Josh Bell,0.7454370797310279,0.7132352941176471,0.7289807421324566,0.321
 CJ Abrams,0.6941457586618877,0.6328976034858388,0.6621082621082621,0.302
 Fernando Tatis Jr.,0.7830508474576271,0.673469387755102,0.7241379310344828,0.337
