name,take precision,take recall,take fscore,woba
 Adrian Beltre,0.6612127045235804,0.7067901234567902,0.6832421680755842,0.327
 Ichiro Suzuki,0.5952380952380952,0.7352941176470589,0.6578947368421053,0.212
 Victor Martinez,0.7069143446852425,0.6802383316782522,0.6933198380566801,0.281
 Chase Utley,0.6440677966101694,0.8283378746594006,0.7246722288438617,0.272
 Albert Pujols,0.6913183279742765,0.675392670157068,0.6832627118644068,0.299
 Matt Holliday,0.7272727272727273,0.7123287671232876,0.7197231833910034,0.377
 Joe Mauer,0.5936842105263158,0.8072519083969466,0.6841892438334007,0.319
 Miguel Cabrera,0.7272727272727273,0.7692307692307693,0.7476635514018691,0.36
 Adrian Gonzalez,0.768025078369906,0.6282051282051282,0.691114245416079,0.288
 Brandon Phillips,0.7358490566037735,0.6964285714285714,0.7155963302752294,0.243
 Jose Reyes,0.7115384615384616,0.7385229540918163,0.7247796278158667,0.255
 Jeff Mathis,0.6981519507186859,0.7727272727272727,0.7335490830636462,0.243
 Shin-Soo Choo,0.6813186813186813,0.7804195804195804,0.7275097783572361,0.355
 Rene Rivera,0.6975308641975309,0.6277777777777778,0.6608187134502924,0.298
 Zack Greinke,0.5327102803738317,0.6,0.5643564356435643,0.25
 Yadier Molina,0.6924731182795699,0.6465863453815262,0.6687435098650053,0.323
 Robinson Cano,0.7147239263803681,0.6986506746626686,0.7065959059893858,0.364
 Edwin Encarnacion,0.7122302158273381,0.7538071065989848,0.7324290998766954,0.346
 Jose Bautista,0.7276227141482194,0.7991543340380549,0.761712846347607,0.324
 Cole Hamels,0.6,0.625,0.6122448979591836,0.172
 Adam Jones,0.7204522096608428,0.6048317515099223,0.6575984990619137,0.315
 Russell Martin,0.672182006204757,0.8977900552486188,0.7687758722649322,0.305
 Curtis Granderson,0.6826291079812207,0.7842502696871629,0.7299196787148595,0.341
 Rajai Davis,0.7300275482093664,0.6641604010025063,0.6955380577427822,0.251
 Hanley Ramirez,0.7771739130434783,0.727735368956743,0.7516425755584757,0.308
 Anibal Sanchez,0.4166666666666667,0.4918032786885246,0.4511278195488722,0.037
 Kendrys Morales,0.7227906976744186,0.7141544117647058,0.7184466019417476,0.329
 Howie Kendrick III,0.6600790513833992,0.6447876447876448,0.65234375,0.342
 Bobby Wilson,0.6578947368421053,0.6600660066006601,0.6589785831960462,0.232
 Ian Kinsler,0.6884377758164166,0.7558139534883721,0.7205542725173211,0.298
 Brandon McCarthy,0.44,0.825,0.5739130434782609,0.116
 Brian McCann,0.6483739837398373,0.740139211136891,0.6912242686890574,0.286
 Neil Walker,0.7142857142857143,0.740072202166065,0.726950354609929,0.291
 Kurt Suzuki,0.717741935483871,0.6622023809523809,0.6888544891640866,0.335
 Ian Desmond,0.7114261884904087,0.7278156996587031,0.7195276254744835,0.315
 Nelson Cruz Jr.,0.7364532019704434,0.7164536741214057,0.7263157894736842,0.361
 Mark Trumbo,0.7281690140845071,0.6662371134020618,0.6958277254374159,0.329
 David Peralta,0.68077900084674,0.7153024911032029,0.6976138828633406,0.368
 Manny Pina,0.6221910112359551,0.6932707355242567,0.6558105107327905,0.301
 Alcides Escobar,0.7053669222343921,0.6750524109014675,0.6898768077129085,0.261
 Jon Jay,0.6602620087336245,0.6708074534161491,0.6654929577464789,0.301
 Martin Prado,0.6048387096774194,0.7481296758104738,0.6688963210702341,0.263
 Lucas Duda,0.6875,0.7053020961775586,0.6962872793670116,0.315
 Matt Wieters,0.7375643224699828,0.7491289198606271,0.7433016421780466,0.308
 Evan Longoria,0.6696969696969697,0.7090909090909091,0.6888311688311688,0.295
 Zack Cozart,0.648014440433213,0.7573839662447257,0.6984435797665369,0.289
 Brandon Guyer,0.7054945054945055,0.7396313364055299,0.7221597300337459,0.298
 Sean Rodriguez,0.7263427109974424,0.7513227513227513,0.7386215864759427,0.264
 Jose Lobaton,0.7318840579710145,0.7952755905511811,0.7622641509433962,0.218
 Rich Hill,0.4426229508196721,0.4909090909090909,0.46551724137931033,0.082
 Mark Reynolds,0.7364341085271318,0.7786885245901639,0.7569721115537847,0.342
 Chris Davis,0.667779632721202,0.7194244604316546,0.6926406926406926,0.239
 Junior Guerra,0.5416666666666666,0.4642857142857143,0.5,0.132
 Paulo Orlando,0.7207792207792207,0.6235955056179775,0.6686746987951807,0.176
 Jason Vargas,0.6129032258064516,0.8260869565217391,0.7037037037037037,0.15
 Ben Zobrist,0.6658249158249159,0.7808489634748272,0.7187641980917765,0.355
 James Adduci,0.7071428571428572,0.5892857142857143,0.6428571428571429,0.291
 Dexter Fowler,0.7027707808564232,0.7914893617021277,0.7444963308872583,0.26
 Tyler Flowers,0.7178729689807977,0.7915309446254072,0.7529047250193649,0.315
 Chase Headley,0.6645161290322581,0.7803030303030303,0.7177700348432056,0.187
 Hunter Pence,0.7405764966740577,0.6613861386138614,0.698744769874477,0.254
 Denard Span,0.6831050228310502,0.7848898216159497,0.73046875,0.33
 Jon Lester,0.6029411764705882,0.7735849056603774,0.6776859504132231,0.124
 Asdrubal Cabrera,0.7281553398058253,0.7081545064377682,0.7180156657963447,0.332
 Shane Robinson,0.6407766990291263,0.7021276595744681,0.6700507614213198,0.197
 Max Scherzer,0.672,0.6774193548387096,0.674698795180723,0.244
 Clay Buchholz,0.45348837209302323,0.8125,0.582089552238806,0.088
 Clayton Richard,0.6133333333333333,0.575,0.5935483870967742,0.159
 Jake Arrieta,0.616,0.7623762376237624,0.6814159292035399,0.177
 Charlie Blackmon,0.6729824561403509,0.7082717872968981,0.6901763224181361,0.368
 Gregor Blanco,0.6880530973451328,0.783375314861461,0.7326266195524146,0.254
 Todd Frazier,0.6615905245346869,0.7533718689788054,0.7045045045045044,0.302
 A.J. Ellis,0.628099173553719,0.8587570621468926,0.7255369928400954,0.325
 Chris Iannetta,0.722488038277512,0.8140161725067385,0.7655259822560204,0.32
 Martin Maldonado,0.6495956873315364,0.650472334682861,0.6500337154416723,0.275
 Robinson Chirinos,0.7144288577154309,0.7342945417095778,0.7242254951752158,0.333
 Chris Young,0.6516129032258065,0.7622641509433963,0.7026086956521739,0.268
 Nick Markakis,0.6674669867947179,0.8,0.7277486910994765,0.345
 Welington Castillo,0.6206088992974239,0.7507082152974505,0.6794871794871795,0.308
 Erik Kratz,0.6754807692307693,0.707808564231738,0.6912669126691267,0.278
 Eduardo Nunez,0.7201017811704835,0.6366704161979753,0.6758208955223881,0.292
 Steve Pearce,0.7169179229480737,0.7867647058823529,0.7502191060473269,0.382
 Homer Bailey,0.5901639344262295,0.72,0.6486486486486487,0.123
 Lorenzo Cain,0.6881188118811881,0.7904142973192526,0.735727788279773,0.359
 Andrew McCutchen,0.6745255894192065,0.8408602150537634,0.7485641352903638,0.347
 Austin Jackson,0.6447058823529411,0.7569060773480663,0.6963151207115628,0.275
 Justin Upton,0.6986206896551724,0.7907884465261514,0.7418528011717321,0.348
 Cameron Maybin,0.6628959276018099,0.7865771812080536,0.7194597912829956,0.295
 Justin Turner,0.6697247706422018,0.7849462365591398,0.7227722772277227,0.396
 Buster Posey III,0.6933760683760684,0.7502890173410405,0.7207107162687397,0.326
 Jay Bruce,0.7835195530726257,0.7257438551099612,0.7535258562793822,0.296
 Joey Votto,0.7285998672859987,0.8693586698337292,0.7927797833935019,0.37
 Colby Rasmus,0.7450980392156863,0.7169811320754716,0.7307692307692308,0.196
 Brett Gardner,0.6435523114355232,0.7901418969380134,0.709353000335233,0.305
 Eric Young Jr.,0.6954545454545454,0.7463414634146341,0.72,0.241
 Matt Joyce,0.7690875232774674,0.774859287054409,0.77196261682243,0.299
 Nick Hundley,0.7329545454545454,0.7023593466424682,0.7173308619091752,0.304
 Cliff Pennington,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.205
 Ryan Braun,0.7131681877444589,0.6703431372549019,0.6910928616550853,0.33
 Drew Butera,0.6447688564476886,0.7320441988950276,0.685640362225097,0.252
 Alex Gordon,0.6871794871794872,0.7153024911032029,0.7009590235396688,0.305
 Chris Gimenez,0.6739130434782609,0.7099236641221374,0.691449814126394,0.274
 Carlos Gomez,0.8059701492537313,0.6105527638190955,0.694781987133667,0.285
 Matt Kemp,0.7367816091954023,0.6862955032119914,0.7106430155210641,0.348
 Gio Gonzalez,0.45098039215686275,0.6301369863013698,0.5257142857142857,0.088
 Andrew Romine,0.6826086956521739,0.61328125,0.6460905349794239,0.228
 Elvis Andrus,0.6666666666666666,0.6714975845410628,0.6690734055354994,0.296
 Gregorio Petit,0.6341463414634146,0.609375,0.6215139442231075,0.27
 Francisco Cervelli,0.6913086913086913,0.8189349112426035,0.7497291440953413,0.355
 Pedro Florimon,0.6864864864864865,0.7650602409638554,0.7236467236467238,0.299
 Melky Cabrera,0.7087198515769945,0.6895306859205776,0.6989935956084171,0.326
 Pablo Sandoval,0.6958105646630237,0.6452702702702703,0.6695880806310255,0.312
 Wilson Ramos,0.7711738484398217,0.6586294416243654,0.7104722792607804,0.361
 Ivan Nova,0.5339805825242718,0.5913978494623656,0.5612244897959183,0.017
