last_name, first_name,player_id,year,woba,out_zone_swing,out_zone,in_zone_swing,in_zone,
Beltre, Adrian,134181,2018,.327,285,972,581,933,
Suzuki, Ichiro,400085,2018,.212,18,68,58,92,
Martinez, Victor,400121,2018,.281,322,1007,616,900,
Utley, Chase,400284,2018,.272,63,367,223,391,
Pujols, Albert,405395,2018,.299,310,955,564,852,
Holliday, Matt,407812,2018,.377,42,146,87,126,
Mauer, Joe,408045,2018,.319,202,1048,573,1152,
Cabrera, Miguel,408234,2018,.360,72,312,200,290,
Gonzalez, Adrian,408236,2018,.288,145,390,223,297,
Phillips, Brandon,408252,2018,.243,17,56,42,56,
Reyes, Jose,408314,2018,.255,131,501,311,461,
Mathis, Jeff,425772,2018,.243,100,440,288,435,
Choo, Shin-Soo,425783,2018,.355,314,1430,816,1338,
Rivera, Rene,425784,2018,.298,67,180,127,176,
Greinke, Zack,425844,2018,.250,38,95,84,134,
Molina, Yadier,425877,2018,.323,352,996,686,972,
Cano, Robinson,429664,2018,.364,201,667,396,582,
Encarnacion, Edwin,429665,2018,.346,291,1182,708,1068,
Bautista, Jose,430832,2018,.324,190,946,482,765,
Hamels, Cole,430935,2018,.172,18,48,31,51,
Jones, Adam,430945,2018,.315,458,1159,732,1004,
Martin, Russell,431145,2018,.305,74,724,431,748,
Granderson, Curtis,434158,2018,.341,200,927,486,824,
Davis, Rajai,434658,2018,.251,134,399,279,377,
Ramirez, Hanley,434670,2018,.308,107,393,272,354,
Sanchez, Anibal,434671,2018,.037,31,61,50,92,
Morales, Kendrys,434778,2018,.329,311,1088,519,817,
Kendrick III, Howie,435062,2018,.342,92,259,210,296,
Wilson, Bobby,435064,2018,.232,103,303,199,303,
Kinsler, Ian,435079,2018,.298,252,1032,694,1047,
McCarthy, Brandon,435221,2018,.116,7,40,34,76,
McCann, Brian,435263,2018,.286,112,431,232,405,
Walker, Neil,435522,2018,.291,216,831,508,754,
Suzuki, Kurt,435559,2018,.335,227,672,481,656,
Desmond, Ian,435622,2018,.315,319,1172,802,1148,
Cruz Jr., Nelson,443558,2018,.361,355,1252,704,1025,
Trumbo, Mark,444432,2018,.329,259,776,442,635,
Peralta, David,444482,2018,.368,320,1124,769,1146,
Pina, Manny,444489,2018,.301,196,639,406,675,
Escobar, Alcides,444876,2018,.261,310,954,699,968,
Jay, Jon,445055,2018,.301,371,1127,737,1126,
Prado, Martin,445988,2018,.263,101,401,215,411,
Duda, Lucas,446263,2018,.315,239,811,425,685,
Wieters, Matt,446308,2018,.308,144,574,337,490,
Longoria, Evan,446334,2018,.295,272,935,664,991,
Cozart, Zack,446359,2018,.289,115,474,312,507,
Guyer, Brandon,446386,2018,.298,113,434,285,419,
Rodriguez, Sean,446481,2018,.264,94,378,256,363,
Lobaton, Jose,446653,2018,.218,26,127,89,126,
Hill, Rich,448179,2018,.082,28,55,44,78,
Reynolds, Mark,448602,2018,.342,108,488,337,473,
Davis, Chris,448801,2018,.239,312,1112,674,1072,
Guerra, Junior,448855,2018,.132,30,56,45,67,
Orlando, Paulo,449181,2018,.176,67,178,126,169,
Vargas, Jason,450306,2018,.150,8,46,33,57,
Zobrist, Ben,450314,2018,.355,222,1013,606,1003,
Adduci, James,451192,2018,.291,138,336,263,345,
Fowler, Dexter,451594,2018,.260,147,705,431,667,
Flowers, Tyler,452095,2018,.315,128,614,399,590,
Headley, Chase,452104,2018,.187,29,132,82,134,
Pence, Hunter,452254,2018,.254,171,505,339,456,
Span, Denard,452655,2018,.330,205,953,634,981,
Lester, Jon,452657,2018,.124,24,106,87,141,
Cabrera, Asdrubal,452678,2018,.332,340,1165,750,1058,
Robinson, Shane,453203,2018,.197,28,94,71,108,
Scherzer, Max,453286,2018,.244,40,124,105,146,
Buchholz, Clay,453329,2018,.088,9,48,35,82,
Richard, Clayton,453385,2018,.159,34,80,59,88,
Arrieta, Jake,453562,2018,.177,24,101,57,105,
Blackmon, Charlie,453568,2018,.368,395,1354,903,1369,
Blanco, Gregor,453923,2018,.254,86,397,277,418,
Frazier, Todd,453943,2018,.302,256,1038,549,949,
Ellis, A.J.,454560,2018,.325,50,354,245,425,
Iannetta, Chris,455104,2018,.320,138,742,508,740,
Maldonado, Martin,455117,2018,.275,259,741,515,775,
Chirinos, Robinson,455139,2018,.333,258,971,539,824,
Young, Chris,455759,2018,.268,63,265,171,279,
Markakis, Nick,455976,2018,.345,278,1390,851,1405,
Castillo, Welington,456078,2018,.308,88,353,225,387,
Kratz, Erik,456124,2018,.278,116,397,273,408,
Nunez, Eduardo,456488,2018,.292,323,889,591,811,
Pearce, Steve,456665,2018,.382,116,544,334,503,
Bailey, Homer,456701,2018,.123,14,50,35,60,
Cain, Lorenzo,456715,2018,.359,258,1231,780,1221,
McCutchen, Andrew,457705,2018,.347,222,1395,926,1492,
Jackson, Austin,457706,2018,.275,176,724,543,845,
Upton, Justin,457708,2018,.348,268,1281,807,1244,
Maybin, Cameron,457727,2018,.295,159,745,469,767,
Turner, Justin,457759,2018,.396,180,837,572,896,
Posey III, Buster,457763,2018,.326,216,865,527,814,
Bruce, Jay,457803,2018,.296,212,773,490,645,
Votto, Joey,458015,2018,.370,165,1263,825,1234,
Rasmus, Colby,458675,2018,.196,30,106,66,92,
Gardner, Brett,458731,2018,.305,281,1339,656,1242,
Young Jr., Eric,458913,2018,.241,52,205,165,232,
Joyce, Matt,459964,2018,.299,120,533,342,466,
Hundley, Nick,460026,2018,.304,164,551,448,589,
Pennington, Cliff,460060,2018,.205,22,90,43,65,
Braun, Ryan,460075,2018,.330,269,816,545,765,
Butera, Drew,460077,2018,.252,97,362,215,361,
Gordon, Alex,460086,2018,.305,320,1124,695,1061,
Gimenez, Chris,460269,2018,.274,38,131,100,145,
Gomez, Carlos,460576,2018,.285,310,796,519,636,
Kemp, Matt,461314,2018,.348,293,934,617,846,
Gonzalez, Gio,461829,2018,.088,27,73,70,126,
Romine, Andrew,461865,2018,.228,99,256,172,245,
Andrus, Elvis,462101,2018,.296,272,828,521,799,
Petit, Gregorio,463610,2018,.270,50,128,80,125,
Cervelli, Francisco,465041,2018,.355,153,845,501,810,
Florimon, Pedro,465753,2018,.299,39,166,117,175,
Cabrera, Melky,466320,2018,.326,172,554,303,460,
Sandoval, Pablo,467055,2018,.312,210,592,296,463,
Ramos, Wilson,467092,2018,.361,269,788,522,676,
Nova, Ivan,467100,2018,.017,38,93,72,120,
Santana, Carlos,467793,2018,.333,304,1451,846,1321,
Parra, Gerardo,467827,2018,.313,261,839,551,739,
Chacin, Jhoulys,468504,2018,.175,36,113,94,141,
Gonzalez, Carlos,471865,2018,.338,336,1042,608,835,
Valbuena, Luis,472528,2018,.253,186,636,410,600,
Mercer, Jordy,474568,2018,.296,234,839,508,836,
Belt, Brandon,474832,2018,.327,223,970,672,870,
Ross, Tyson,475115,2018,.206,20,92,65,101,
Alonso, Yonder,475174,2018,.319,353,1160,742,1015,
Flaherty, Ryan,475247,2018,.258,79,349,243,342,
Smoak, Justin,475253,2018,.349,301,1334,680,1106,
Zimmerman, Ryan,475582,2018,.351,161,675,360,616,
Hellickson, Jeremy,476451,2018,.066,20,43,41,75,
Lowrie, Jed,476704,2018,.347,294,1373,957,1357,
Alvarez, Pedro,476883,2018,.304,72,289,150,248,
Kershaw, Clayton,477132,2018,.287,33,105,50,95,
Avila, Alex,488671,2018,.273,62,486,286,507,
Bourjos, Peter,488721,2018,.258,21,84,57,88,
Brantley Jr., Michael,488726,2018,.359,270,1138,726,1113,
Castro, Jason,488771,2018,.231,24,142,91,134,
Cruz, Tony,488810,2018,.194,24,47,24,44,
d'Arnaud, Chase,488818,2018,.266,78,210,115,184,
Miley, Wade,489119,2018,.182,23,47,30,48,
Morrison, Logan,489149,2018,.283,199,752,478,663,
Hernandez, Gorkys,491676,2018,.292,263,890,632,878,
Sucre, Jesus,491696,2018,.219,144,352,235,320,
Cespedes, Yoenis,493316,2018,.345,104,309,188,282,
Gurriel, Yuli,493329,2018,.323,354,1025,605,881,
Beckham, Gordon,493596,2018,.212,21,93,77,95,
Rodriguez, Ronny,500135,2018,.257,160,420,252,368,
Solarte, Yangervis,500208,2018,.284,380,1010,582,763,
Rojas, Miguel,500743,2018,.281,312,968,648,989,
Quintana, Jose,500779,2018,.068,28,85,73,120,
Escobar, Eduardo,500871,2018,.346,450,1273,831,1148,
Martinez, Jose,500874,2018,.356,329,1261,695,1093,
Sierra, Moises,501213,2018,.191,29,111,75,115,
Adrianza, Ehire,501303,2018,.294,183,689,503,721,
Lagares, Juan,501571,2018,.329,33,105,77,108,
Almonte, Abraham,501659,2018,.244,91,323,181,285,
Freese, David,501896,2018,.357,143,628,401,641,
Davis, Khris,501981,2018,.365,294,1267,941,1238,
Pham, Tommy,502054,2018,.359,209,1097,683,1142,
Chisenhall, Lonnie,502082,2018,.366,53,190,122,172,
Martinez, J.D.,502110,2018,.427,395,1350,872,1167,
Negron, Kristopher,502117,2018,.242,18,65,56,77,
Valencia, Danny,502143,2018,.310,149,556,306,508,
Reddick, Josh,502210,2018,.311,283,1036,564,865,
Gentry, Craig,502226,2018,.295,76,321,224,328,
Dyson, Jarrod,502481,2018,.244,92,416,272,451,
Murphy, Daniel,502517,2018,.338,177,603,463,662,
Anderson, Chase,502624,2018,.078,30,64,62,100,
Goldschmidt, Paul,502671,2018,.390,410,1575,822,1327,
Holland, Derek,502706,2018,.068,36,99,70,110,
Gonzalez, Marwin,503556,2018,.318,356,1193,625,1018,
Leon, Sandy,506702,2018,.227,186,603,360,557,
Sanchez, Adrian,506703,2018,.275,32,107,79,105,
Pena, Francisco,506747,2018,.215,126,266,189,261,
Altuve, Jose,514888,2018,.363,347,1150,659,969,
Hernandez, Cesar,514917,2018,.320,269,1498,873,1489,
Segura, Jean,516416,2018,.327,356,1112,724,1090,
Arcia, Francisco,516472,2018,.277,72,180,138,199,
Castro, Starlin,516770,2018,.315,332,1212,777,1195,
Marte, Starling,516782,2018,.337,395,1156,837,1104,
Pirela, Jose,517369,2018,.283,265,879,561,887,
Bettis, Chad,518452,2018,.112,20,80,46,85,
Blash, Jabari,518466,2018,.163,23,105,69,100,
Bumgarner, Madison,518516,2018,.165,31,87,51,75,
Centeno, Juan,518542,2018,.197,18,76,38,68,
Culberson, Charlie,518586,2018,.335,223,606,410,565,
Descalso, Daniel,518614,2018,.341,170,861,562,861,
Dietrich, Derek,518618,2018,.326,357,1122,734,1040,
Donaldson, Josh,518626,2018,.345,105,475,263,406,
Freeman, Freddie,518692,2018,.378,434,1396,1045,1263,
Grandal, Yasmani,518735,2018,.352,219,1104,618,1073,
Harvey, Matt,518774,2018,.089,28,82,72,114,
Heyward, Jason,518792,2018,.319,272,956,560,874,
Kozma, Pete,518902,2018,.249,33,126,100,150,
LeMahieu, DJ,518934,2018,.322,247,1064,666,1118,
Lucroy, Jonathan,518960,2018,.271,226,818,541,941,
Mesoraco, Devin,519023,2018,.302,145,533,367,534,
Moreland, Mitch,519048,2018,.325,237,954,576,796,
Moustakas, Mike,519058,2018,.329,431,1259,810,1117,
Rizzo, Anthony,519203,2018,.359,383,1290,777,1143,
Romine, Austin,519222,2018,.307,174,516,320,481,
Smolinski, Jake,519295,2018,.168,19,75,53,83,
Sogard, Eric,519299,2018,.194,43,231,132,232,
Souza Jr., Steven,519306,2018,.299,133,586,360,535,
Stanton, Giancarlo,519317,2018,.360,480,1673,839,1264,
Szczur, Matt,519333,2018,.242,42,150,99,146,
Thames, Eric,519346,2018,.330,154,567,378,543,
Galvis, Freddy,520471,2018,.294,476,1360,795,1171,
Perez, Salvador,521692,2018,.304,475,1074,617,845,
Forsythe, Logan,523253,2018,.274,106,758,503,941,
Flores, Wilmer,527038,2018,.316,226,791,528,788,
Marte, Jefry,527043,2018,.281,117,453,258,405,
Teheran, Julio,527054,2018,.190,22,74,73,116,
LaMarre, Ryan,534606,2018,.306,97,350,260,379,
Garcia, Avisail,541645,2018,.304,306,763,522,651,
Perez, Hernan,541650,2018,.292,229,629,406,637,
Perez, Carlos,542208,2018,.175,51,145,92,143,
Inciarte, Ender,542255,2018,.308,379,1224,829,1184,
Ozuna, Marcell,542303,2018,.327,342,1231,782,1082,
Villar, Jonathan,542340,2018,.312,316,1138,750,1039,
Ortega, Rafael,542364,2018,.251,68,282,169,273,
Santana, Danny,542454,2018,.259,21,65,47,60,
Telis, Tomas,542513,2018,.227,34,88,26,48,
Aguilar, Jesus,542583,2018,.374,452,1336,654,1096,
Anderson, Tyler,542881,2018,.133,23,78,77,129,
Bandy, Jett,542908,2018,.245,59,152,101,136,
Beckham, Tim,542921,2018,.288,209,752,537,795,
Broxton, Keon,542979,2018,.299,43,192,113,163,
Chatwood, Tyler,543022,2018,.162,13,45,39,66,
Crawford, Brandon,543063,2018,.306,337,1132,819,1082,
Cron, C.J.,543068,2018,.347,409,1172,695,999,
DeSclafani, Anthony,543101,2018,.153,21,62,55,91,
Federowicz, Tim,543148,2018,.284,17,75,74,120,
Galloway, Isaac,543194,2018,.304,45,149,88,132,
Gomes, Yan,543228,2018,.326,308,871,603,825,
Grossman, Robbie,543257,2018,.333,160,951,570,908,
Harrison, Josh,543281,2018,.285,245,677,516,698,
Hendricks, Kyle,543294,2018,.085,23,96,67,142,
Herrmann, Chris,543302,2018,.321,45,188,121,167,
Hicks, Aaron,543305,2018,.360,243,1332,751,1153,
Hicks, John,543308,2018,.311,230,604,432,558,
Higashioka, Kyle,543309,2018,.248,33,134,91,133,
Hosmer, Eric,543333,2018,.309,392,1339,835,1181,
Joseph, Caleb,543376,2018,.251,169,533,383,545,
Kipnis, Jason,543401,2018,.308,321,1240,703,1146,
Mahtook, Mikie,543484,2018,.276,124,541,333,529,
McCann, James,543510,2018,.256,290,918,585,911,
Miller, Brad,543543,2018,.312,158,505,318,466,
Montgomery, Mike,543557,2018,.098,27,56,54,83,
Rendon, Anthony,543685,2018,.383,269,1129,858,1235,
Roark, Tanner,543699,2018,.209,36,88,69,112,
Semien, Marcus,543760,2018,.307,340,1443,920,1428,
Shaw, Travis,543768,2018,.351,321,1273,747,1113,
Shuck, JB,543776,2018,.219,75,267,145,253,
Springer III, George,543807,2018,.340,273,1254,835,1245,
Strange-Gordon, Dee,543829,2018,.277,372,942,722,1045,
Vazquez, Christian,543877,2018,.240,143,488,352,525,
Wong, Kolten,543939,2018,.314,184,773,455,736,
Gregorius, Didi,544369,2018,.350,381,1151,695,931,
Garcia, Leury,544725,2018,.295,193,483,349,458,
Strasburg, Stephen,544931,2018,.134,22,83,67,99,
Grichuk, Randal,545341,2018,.340,307,938,603,859,
Marisnick, Jake,545350,2018,.290,153,449,321,439,
Stassi, Max,545358,2018,.313,94,467,316,485,
Trout, Mike,545361,2018,.447,235,1295,719,1246,
Herrera, Odubel,546318,2018,.315,474,1238,730,1056,
Almora Jr., Albert,546991,2018,.305,323,818,553,785,
Delmonico, Nicky,547170,2018,.292,180,622,458,626,
Wolters, Tony,547172,2018,.261,100,424,257,382,
Lorenzen, Michael,547179,2018,.432,29,74,42,55,
Harper, Bryce,547180,2018,.376,425,1683,891,1194,
Perez, Roberto,547379,2018,.236,91,421,254,435,
Ryu, Hyun Jin,547943,2018,.282,11,50,50,73,
Martin, Leonys,547982,2018,.323,185,686,517,682,
